it,SNR,mod,acc,f1
1,-8,QAM16,0.17261904761904762,0.15447154471544716
1,-8,QPSK,0.17261904761904762,0.2692828146143437
1,-8,8PSK,0.17261904761904762,0.027472527472527472
1,-8,GFSK,0.17261904761904762,0.10396716826265391
1,-8,CPFSK,0.17261904761904762,0.14710485133020343
1,-8,PAM4,0.17261904761904762,0.11094452773613193
1,-6,BPSK,0.2876190476190476,0.2393418100224383
1,-6,QAM16,0.2876190476190476,0.5489795918367346
1,-6,QPSK,0.2876190476190476,0.30016181229773464
1,-6,8PSK,0.2876190476190476,0.04735376044568245
1,-6,GFSK,0.2876190476190476,0.21092757306226176
1,-6,CPFSK,0.2876190476190476,0.18312101910828027
1,-6,PAM4,0.2876190476190476,0.45411764705882357
1,-4,BPSK,0.44166666666666665,0.43980738362760835
1,-4,QAM16,0.44166666666666665,0.7613104524180968
1,-4,QPSK,0.44166666666666665,0.33518425037859667
1,-4,8PSK,0.44166666666666665,0.07932011331444759
1,-4,GFSK,0.44166666666666665,0.33023255813953484
1,-4,CPFSK,0.44166666666666665,0.22638297872340427
1,-4,PAM4,0.44166666666666665,0.7965217391304348
1,-2,BPSK,0.44666666666666666,0.4904405652535328
1,-2,QAM16,0.44666666666666666,0.5799338478500551
1,-2,QPSK,0.44666666666666666,0.2782348541510845
1,-2,8PSK,0.44666666666666666,0.0899149453219927
1,-2,GFSK,0.44666666666666666,0.4561774023231257
1,-2,CPFSK,0.44666666666666666,0.2142121524201854
1,-2,PAM4,0.44666666666666666,0.7846743295019157
1,0,BPSK,0.4514285714285714,0.6149479659413434
1,0,QAM16,0.4514285714285714,0.42613636363636365
1,0,QPSK,0.4514285714285714,0.059060402684563765
1,0,8PSK,0.4514285714285714,0.1443298969072165
1,0,GFSK,0.4514285714285714,0.5354330708661417
1,0,CPFSK,0.4514285714285714,0.39918533604887985
1,0,PAM4,0.4514285714285714,0.8043310131477185
1,2,BPSK,0.580952380952381,0.7644362969752522
1,2,QAM16,0.580952380952381,0.5093105183694011
1,2,QPSK,0.580952380952381,0.2764423076923077
1,2,8PSK,0.580952380952381,0.22689844464775846
1,2,GFSK,0.580952380952381,0.6811594202898551
1,2,CPFSK,0.580952380952381,0.6790622473726757
1,2,PAM4,0.580952380952381,0.8860971524288107
1,4,BPSK,0.695952380952381,0.827708703374778
1,4,QAM16,0.695952380952381,0.7048398091342877
1,4,QPSK,0.695952380952381,0.5209677419354839
1,4,8PSK,0.695952380952381,0.38197845249755147
1,4,GFSK,0.695952380952381,0.7052845528455285
1,4,CPFSK,0.695952380952381,0.7688984881209504
1,4,PAM4,0.695952380952381,0.9224211423699915
